# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AFB1	YLR040C	YLR040C	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AFG1	YEL052W	YEL052W	protein_coding	0	5	5	33	0	0	0	0	16	0	0	0	5	0	0	0	0	0	0	0	5	17
AFG2	YLR397C	YLR397C	protein_coding	0	9	0	25	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	9	11
AFG3	YER017C	YER017C	protein_coding	0	1	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	10
AFI1	YOR129C	YOR129C	protein_coding	0	3	3	24	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	3	11
AFR1	YDR085C	YDR085C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFT1	YGL071W	YGL071W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFT2	YPL202C	YPL202C	protein_coding	0	0	0	17	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	13
AGA1	YNR044W	YNR044W	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AGA2	YGL032C	YGL032C	protein_coding	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC1	YPR021C	YPR021C	protein_coding	0	1	1	8	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	6
AGE1	YDR524C	YDR524C	protein_coding	0	6	3	72	0	0	0	0	26	0	0	0	3	0	0	0	0	0	0	0	6	46
AGE2	YIL044C	YIL044C	protein_coding	0	4	3	56	0	0	0	0	35	0	0	0	3	0	0	0	0	0	0	0	4	21
AGP1	YCL025C	YCL025C	protein_coding	0	0	1	24	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	13
AGP2	YBR132C	YBR132C	protein_coding	0	7	3	41	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	7	23
AGP3	YFL055W	YFL055W	protein_coding	0	0	0	16	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1
AGX1	YFL030W	YFL030W	protein_coding	0	1	0	39	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	18
AHC1	YOR023C	YOR023C	protein_coding	0	4	2	37	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	4	16
AHC2	YCR082W	YCR082W	protein_coding	0	1	0	50	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	31
AHP1	YLR109W	YLR109W	protein_coding	0	0	0	25	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	8
AIF1	YNR074C	YNR074C	protein_coding	0	0	1	10	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	2
AIM1	YAL046C	YAL046C	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2
AIM11	YER093C-A	YER093C-A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AIM14	YGL160W	YGL160W	protein_coding	0	1	1	14	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	10
AIM17	YHL021C	YHL021C	protein_coding	0	5	2	51	0	0	0	0	34	0	0	0	2	0	0	0	0	0	0	0	5	17
AIM18	YHR198C	YHR198C	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
AIM19	YIL087C	YIL087C	protein_coding	0	0	0	87	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	39
AIM2	YAL049C	YAL049C	protein_coding	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5
AIM20	YIL158W	YIL158W	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6
AIM21	YIR003W	YIR003W	protein_coding	0	1	2	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	2
AIM22	YJL046W	YJL046W	protein_coding	0	4	2	54	0	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	4	31
AIM23	YJL131C	YJL131C	protein_coding	0	1	1	35	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	1	9
AIM24	YJR080C	YJR080C	protein_coding	0	7	0	65	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	7	43
AIM25	YJR100C	YJR100C	protein_coding	0	0	0	24	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	18
AIM26	YKL037W	YKL037W	protein_coding	0	0	0	17	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	3
AIM29	YKR074W	YKR074W	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
AIM32	YML050W	YML050W	protein_coding	0	0	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7
AIM33	YML087C	YML087C	protein_coding	0	4	1	38	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	4	13
AIM34	YMR003W	YMR003W	protein_coding	0	1	1	28	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	1	13
AIM36	YMR157C	YMR157C	protein_coding	0	0	0	21	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	8
AIM39	YOL053W	YOL053W	protein_coding	0	0	1	9	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	3
AIM4	YBR194W	YBR194W	protein_coding	0	3	1	68	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	3	32
AIM41	YOR215C	YOR215C	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIM44	YPL158C	YPL158C	protein_coding	0	2	7	19	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	2	15
AIM46	YHR199C	YHR199C	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AIM6	YDL237W	YDL237W	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
AIM7	YDR063W	YDR063W	protein_coding	0	1	0	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	9
AIP1	YMR092C	YMR092C	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AIR1	YIL079C	YIL079C	protein_coding	0	3	3	23	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	23
AIR2	YDL175C	YDL175C	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AKL1	YBR059C	YBR059C	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AKR1	YDR264C	YDR264C	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
AKR2	YOR034C	YOR034C	protein_coding	0	1	0	23	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	4
ALA1	YOR335C	YOR335C	protein_coding	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1
ALB1	YJL122W	YJL122W	protein_coding	0	0	2	43	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	24
ALD2	YMR170C	YMR170C	protein_coding	0	2	0	21	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	7
ALD3	YMR169C	YMR169C	protein_coding	0	3	1	21	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	3	9
ALD4	YOR374W	YOR374W	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
ALD6	YPL061W	YPL061W	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ALE1	YOR175C	YOR175C	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALF1	YNL148C	YNL148C	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
ALG11	YNL048W	YNL048W	protein_coding	0	2	1	31	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	2	7
ALG12	YNR030W	YNR030W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALG14	YBR070C	YBR070C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALG3	YBL082C	YBL082C	protein_coding	0	1	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	22
ALG5	YPL227C	YPL227C	protein_coding	0	5	2	67	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	5	37
ALG6	YOR002W	YOR002W	protein_coding	0	1	1	9	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	1	2
ALG7	YBR243C	YBR243C	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
ALG8	YOR067C	YOR067C	protein_coding	0	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	6
ALG9	YNL219C	YNL219C	protein_coding	0	0	2	12	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	4
ALK2	YBL009W	YBL009W	protein_coding	0	8	2	30	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	8	16
ALO1	YML086C	YML086C	protein_coding	0	1	0	43	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	1	17
ALP1	YNL270C	YNL270C	protein_coding	0	0	1	6	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5
ALR1	YOL130W	YOL130W	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
ALR2	YFL050C	YFL050C	protein_coding	0	11	16	84	0	0	0	0	44	0	0	0	16	0	0	0	0	0	0	0	11	40
ALT1	YLR089C	YLR089C	protein_coding	0	1	0	24	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	21
ALY1	YKR021W	YKR021W	protein_coding	0	3	2	19	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	3	12
ALY2	YJL084C	YJL084C	protein_coding	0	1	4	9	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	1	6
AMA1	YGR225W	YGR225W	protein_coding	0	2	1	20	0	0	0	0	13	0	0	1	1	0	0	0	0	0	0	0	2	6
AMD1	YML035C	YML035C	protein_coding	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4
AME1	YBR211C	YBR211C	protein_coding	0	4	2	67	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	4	27
AMF1	YOR378W	YOR378W	protein_coding	0	2	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	3
AMN1	YBR158W	YBR158W	protein_coding	0	2	2	56	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	2	24
AMS1	YGL156W	YGL156W	protein_coding	0	5	2	20	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	5	13
ANB1	YJR047C	YJR047C	protein_coding	0	1	0	40	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	1	12
ANP1	YEL036C	YEL036C	protein_coding	0	4	2	27	0	0	1	0	27	0	0	0	1	0	0	0	0	0	0	0	4	0
ANR2	YKL047W	YKL047W	protein_coding	0	0	1	27	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	0	0
ANT1	YPR128C	YPR128C	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AOS1	YPR180W	YPR180W	protein_coding	0	2	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	4
APA1	YCL050C	YCL050C	protein_coding	0	1	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0
APA2	YDR530C	YDR530C	protein_coding	0	1	0	81	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	1	35
APC1	YNL172W	YNL172W	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APC11	YDL008W	YDL008W	protein_coding	0	1	1	42	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	1	15
APC2	YLR127C	YLR127C	protein_coding	0	1	2	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	2
APC5	YOR249C	YOR249C	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
APC9	YLR102C	YLR102C	protein_coding	0	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3
APD1	YBR151W	YBR151W	protein_coding	0	3	0	86	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	3	44
APE1	YKL103C	YKL103C	protein_coding	0	2	2	47	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	2	31
APE2	YKL157W	YKL157W	protein_coding	0	0	1	17	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	15
APE3	YBR286W	YBR286W	protein_coding	0	1	1	16	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	13
API2	YDR525W	YDR525W	protein_coding	0	0	1	79	0	0	0	0	47	0	0	0	1	0	0	0	0	0	0	0	0	32
APJ1	YNL077W	YNL077W	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4
APL1	YJR005W	YJR005W	protein_coding	0	1	1	34	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	1	5
APL2	YKL135C	YKL135C	protein_coding	0	1	1	22	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	1	4
APL3	YBL037W	YBL037W	protein_coding	0	5	3	31	0	0	0	0	16	0	0	0	3	0	0	0	0	0	0	0	5	15
APL4	YPR029C	YPR029C	protein_coding	0	0	1	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4
APL5	YPL195W	YPL195W	protein_coding	0	4	0	23	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	13
APL6	YGR261C	YGR261C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APM1	YPL259C	YPL259C	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
APM2	YHL019C	YHL019C	protein_coding	0	6	0	34	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	6	6
APM3	YBR288C	YBR288C	protein_coding	0	0	1	11	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	3
APM4	YOL062C	YOL062C	protein_coding	0	9	1	61	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	9	23
APN1	YKL114C	YKL114C	protein_coding	0	0	1	58	0	0	0	0	39	0	0	0	1	0	0	0	0	0	0	0	0	19
APN2	YBL019W	YBL019W	protein_coding	0	2	3	40	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	2	21
APP1	YNL094W	YNL094W	protein_coding	0	1	1	6	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	4
APQ12	YIL040W	YIL040W	protein_coding	0	1	1	48	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	1	25
APQ13	YJL075C	YJL075C	protein_coding	0	1	0	17	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	6
APS1	YLR170C	YLR170C	protein_coding	0	1	1	58	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	1	38
APS2	YJR058C	YJR058C	protein_coding	0	2	0	80	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	2	35
APS3	YJL024C	YJL024C	protein_coding	0	0	1	42	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	23
APT1	YML022W	YML022W	protein_coding	0	1	1	28	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	1	18
APT2	YDR441C	YDR441C	protein_coding	0	2	1	21	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	2	8
AQR1	YNL065W	YNL065W	protein_coding	0	2	1	38	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	2	31
AQY1	YPR192W	YPR192W	protein_coding	0	1	0	34	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	1	17
AQY2	YLL052C	YLL052C	protein_coding	0	1	1	9	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	1	2
ARA1	YBR149W	YBR149W	protein_coding	0	1	0	95	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	1	45
ARA2	YMR041C	YMR041C	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ARB1	YER036C	YER036C	protein_coding	0	1	0	13	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	9
ARC15	YIL062C	YIL062C	protein_coding	0	0	0	59	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	42
ARC18	YLR370C	YLR370C	protein_coding	0	2	0	32	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	19
ARC19	YKL013C	YKL013C	protein_coding	0	1	0	36	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	12
ARC35	YNR035C	YNR035C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
